hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
0,Chennai,13.110721,80.2459,29.9,7.8,81,2026-05-28,Medium,Moderate,Very High
1,Chennai,13.110721,80.2459,30.0,8.4,80,2026-05-28,Medium,Moderate,High
2,Chennai,13.110721,80.2459,31.4,10.0,72,2026-05-28,Medium,Moderate,High
3,Chennai,13.110721,80.2459,33.8,11.4,60,2026-05-28,Hot,High,Moderate
4,Chennai,13.110721,80.2459,35.8,14.1,47,2026-05-28,Hot,High,Moderate
5,Chennai,13.110721,80.2459,37.1,13.6,39,2026-05-28,Hot,High,Moderate
6,Chennai,13.110721,80.2459,38.5,14.0,36,2026-05-28,Extreme Hot,High,Moderate
7,Chennai,13.110721,80.2459,39.2,13.1,35,2026-05-28,Extreme Hot,High,Moderate
8,Chennai,13.110721,80.2459,39.8,9.6,33,2026-05-28,Extreme Hot,Moderate,Moderate
9,Chennai,13.110721,80.2459,38.5,5.6,38,2026-05-28,Extreme Hot,Moderate,Moderate
10,Chennai,13.110721,80.2459,35.7,14.5,53,2026-05-28,Hot,High,Moderate
11,Chennai,13.110721,80.2459,34.7,13.9,55,2026-05-28,Hot,High,Moderate
12,Chennai,13.110721,80.2459,34.2,9.8,58,2026-05-28,Hot,Moderate,Moderate
13,Chennai,13.110721,80.2459,33.5,11.1,63,2026-05-28,Hot,High,High
14,Chennai,13.110721,80.2459,33.0,12.3,66,2026-05-28,Hot,High,High
15,Chennai,13.110721,80.2459,32.3,13.5,68,2026-05-28,Hot,High,High
16,Chennai,13.110721,80.2459,31.6,13.7,75,2026-05-28,Medium,High,High
17,Chennai,13.110721,80.2459,31.3,11.8,78,2026-05-28,Medium,High,High
18,Chennai,13.110721,80.2459,31.1,11.8,75,2026-05-28,Medium,High,High
19,Chennai,13.110721,80.2459,30.9,11.0,73,2026-05-28,Medium,High,High
20,Chennai,13.110721,80.2459,30.6,9.7,72,2026-05-28,Medium,Moderate,High
21,Chennai,13.110721,80.2459,30.2,9.8,72,2026-05-28,Medium,Moderate,High
22,Chennai,13.110721,80.2459,29.9,8.8,73,2026-05-28,Medium,Moderate,High
23,Chennai,13.110721,80.2459,29.5,8.7,72,2026-05-28,Medium,Moderate,High
0,Chennai,13.110721,80.2459,29.3,10.4,71,2026-05-29,Medium,High,High
1,Chennai,13.110721,80.2459,29.6,10.8,65,2026-05-29,Medium,High,High
2,Chennai,13.110721,80.2459,31.0,12.2,58,2026-05-29,Medium,High,Moderate
3,Chennai,13.110721,80.2459,33.1,11.1,51,2026-05-29,Hot,High,Moderate
4,Chennai,13.110721,80.2459,35.1,10.2,46,2026-05-29,Hot,High,Moderate
5,Chennai,13.110721,80.2459,37.0,10.0,42,2026-05-29,Hot,Moderate,Moderate
6,Chennai,13.110721,80.2459,38.5,7.9,39,2026-05-29,Extreme Hot,Moderate,Moderate
7,Chennai,13.110721,80.2459,39.3,4.3,37,2026-05-29,Extreme Hot,Low,Moderate
8,Chennai,13.110721,80.2459,39.6,0.4,36,2026-05-29,Extreme Hot,Low,Moderate
9,Chennai,13.110721,80.2459,39.5,4.0,36,2026-05-29,Extreme Hot,Low,Moderate
10,Chennai,13.110721,80.2459,38.9,6.9,39,2026-05-29,Extreme Hot,Moderate,Moderate
11,Chennai,13.110721,80.2459,37.9,9.7,46,2026-05-29,Hot,Moderate,Moderate
12,Chennai,13.110721,80.2459,36.2,13.0,52,2026-05-29,Hot,High,Moderate
13,Chennai,13.110721,80.2459,34.6,15.3,58,2026-05-29,Hot,Very High,Moderate
14,Chennai,13.110721,80.2459,34.1,11.2,58,2026-05-29,Hot,High,Moderate
15,Chennai,13.110721,80.2459,34.0,8.4,57,2026-05-29,Hot,Moderate,Moderate
16,Chennai,13.110721,80.2459,33.3,9.1,56,2026-05-29,Hot,Moderate,Moderate
17,Chennai,13.110721,80.2459,32.7,11.4,58,2026-05-29,Hot,High,Moderate
18,Chennai,13.110721,80.2459,31.7,10.3,66,2026-05-29,Medium,High,High
19,Chennai,13.110721,80.2459,30.9,9.9,72,2026-05-29,Medium,Moderate,High
20,Chennai,13.110721,80.2459,30.5,10.3,71,2026-05-29,Medium,High,High
21,Chennai,13.110721,80.2459,30.1,9.6,69,2026-05-29,Medium,Moderate,High
22,Chennai,13.110721,80.2459,29.8,10.3,70,2026-05-29,Medium,High,High
23,Chennai,13.110721,80.2459,29.5,9.8,69,2026-05-29,Medium,Moderate,High
0,Chennai,13.110721,80.2459,29.3,9.4,67,2026-05-30,Medium,Moderate,High
1,Chennai,13.110721,80.2459,29.7,6.8,63,2026-05-30,Medium,Moderate,High
2,Chennai,13.110721,80.2459,29.1,11.4,68,2026-05-30,Medium,High,High
3,Chennai,13.110721,80.2459,30.9,5.4,61,2026-05-30,Medium,Moderate,High
4,Chennai,13.110721,80.2459,33.5,6.7,52,2026-05-30,Hot,Moderate,Moderate
5,Chennai,13.110721,80.2459,35.5,6.6,46,2026-05-30,Hot,Moderate,Moderate
6,Chennai,13.110721,80.2459,37.0,3.8,42,2026-05-30,Hot,Low,Moderate
