hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
0,Itanagar,27.100174,93.604004,22.9,1.3,96,2026-05-28,Cool,Low,Very High
1,Itanagar,27.100174,93.604004,22.8,3.0,95,2026-05-28,Cool,Low,Very High
2,Itanagar,27.100174,93.604004,22.7,1.5,97,2026-05-28,Cool,Low,Very High
3,Itanagar,27.100174,93.604004,25.1,3.1,85,2026-05-28,Medium,Low,Very High
4,Itanagar,27.100174,93.604004,26.4,6.2,78,2026-05-28,Medium,Moderate,High
5,Itanagar,27.100174,93.604004,26.7,4.2,73,2026-05-28,Medium,Low,High
6,Itanagar,27.100174,93.604004,26.0,6.5,74,2026-05-28,Medium,Moderate,High
7,Itanagar,27.100174,93.604004,25.6,2.7,78,2026-05-28,Medium,Low,High
8,Itanagar,27.100174,93.604004,26.6,6.2,73,2026-05-28,Medium,Moderate,High
9,Itanagar,27.100174,93.604004,25.7,3.4,76,2026-05-28,Medium,Low,High
10,Itanagar,27.100174,93.604004,26.6,1.7,72,2026-05-28,Medium,Low,High
11,Itanagar,27.100174,93.604004,26.1,3.1,74,2026-05-28,Medium,Low,High
12,Itanagar,27.100174,93.604004,24.9,0.7,83,2026-05-28,Cool,Low,Very High
13,Itanagar,27.100174,93.604004,23.4,1.5,90,2026-05-28,Cool,Low,Very High
14,Itanagar,27.100174,93.604004,23.0,1.6,90,2026-05-28,Cool,Low,Very High
15,Itanagar,27.100174,93.604004,22.9,1.2,89,2026-05-28,Cool,Low,Very High
16,Itanagar,27.100174,93.604004,22.9,1.9,86,2026-05-28,Cool,Low,Very High
17,Itanagar,27.100174,93.604004,23.1,1.6,84,2026-05-28,Cool,Low,Very High
18,Itanagar,27.100174,93.604004,23.3,0.8,81,2026-05-28,Cool,Low,Very High
19,Itanagar,27.100174,93.604004,23.7,0.5,80,2026-05-28,Cool,Low,High
20,Itanagar,27.100174,93.604004,24.0,0.6,80,2026-05-28,Cool,Low,High
21,Itanagar,27.100174,93.604004,23.6,0.4,81,2026-05-28,Cool,Low,Very High
22,Itanagar,27.100174,93.604004,23.2,0.5,81,2026-05-28,Cool,Low,Very High
23,Itanagar,27.100174,93.604004,22.4,0.9,81,2026-05-28,Cool,Low,Very High
0,Itanagar,27.100174,93.604004,23.9,0.9,76,2026-05-29,Cool,Low,High
1,Itanagar,27.100174,93.604004,25.8,1.3,70,2026-05-29,Medium,Low,High
2,Itanagar,27.100174,93.604004,27.1,3.3,65,2026-05-29,Medium,Low,High
3,Itanagar,27.100174,93.604004,28.4,4.1,60,2026-05-29,Medium,Low,Moderate
4,Itanagar,27.100174,93.604004,29.6,5.5,56,2026-05-29,Medium,Moderate,Moderate
5,Itanagar,27.100174,93.604004,30.6,7.5,54,2026-05-29,Medium,Moderate,Moderate
6,Itanagar,27.100174,93.604004,31.4,7.0,51,2026-05-29,Medium,Moderate,Moderate
7,Itanagar,27.100174,93.604004,32.0,7.7,50,2026-05-29,Medium,Moderate,Moderate
8,Itanagar,27.100174,93.604004,31.9,8.6,52,2026-05-29,Medium,Moderate,Moderate
9,Itanagar,27.100174,93.604004,31.4,8.3,56,2026-05-29,Medium,Moderate,Moderate
10,Itanagar,27.100174,93.604004,30.5,8.1,59,2026-05-29,Medium,Moderate,Moderate
11,Itanagar,27.100174,93.604004,29.7,4.9,62,2026-05-29,Medium,Low,High
12,Itanagar,27.100174,93.604004,28.2,2.0,80,2026-05-29,Medium,Low,High
