hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
0,Mumbai,19.086115,72.85291,29.9,6.4,75,2026-05-28,Medium,Moderate,High
1,Mumbai,19.086115,72.85291,29.9,6.7,75,2026-05-28,Medium,Moderate,High
2,Mumbai,19.086115,72.85291,30.6,8.3,70,2026-05-28,Medium,Moderate,High
3,Mumbai,19.086115,72.85291,31.7,8.3,65,2026-05-28,Medium,Moderate,High
4,Mumbai,19.086115,72.85291,32.8,8.6,59,2026-05-28,Hot,Moderate,Moderate
5,Mumbai,19.086115,72.85291,33.5,9.9,56,2026-05-28,Hot,Moderate,Moderate
6,Mumbai,19.086115,72.85291,34.3,10.4,54,2026-05-28,Hot,High,Moderate
7,Mumbai,19.086115,72.85291,34.4,11.5,54,2026-05-28,Hot,High,Moderate
8,Mumbai,19.086115,72.85291,34.2,13.4,55,2026-05-28,Hot,High,Moderate
9,Mumbai,19.086115,72.85291,34.0,14.2,56,2026-05-28,Hot,High,Moderate
10,Mumbai,19.086115,72.85291,33.5,14.5,60,2026-05-28,Hot,High,Moderate
11,Mumbai,19.086115,72.85291,32.8,14.7,63,2026-05-28,Hot,High,High
12,Mumbai,19.086115,72.85291,32.3,13.8,64,2026-05-28,Hot,High,High
13,Mumbai,19.086115,72.85291,31.7,12.1,65,2026-05-28,Medium,High,High
14,Mumbai,19.086115,72.85291,31.1,10.5,69,2026-05-28,Medium,High,High
15,Mumbai,19.086115,72.85291,30.8,9.9,71,2026-05-28,Medium,Moderate,High
16,Mumbai,19.086115,72.85291,30.5,9.7,72,2026-05-28,Medium,Moderate,High
17,Mumbai,19.086115,72.85291,30.3,9.8,73,2026-05-28,Medium,Moderate,High
18,Mumbai,19.086115,72.85291,30.0,11.1,74,2026-05-28,Medium,High,High
19,Mumbai,19.086115,72.85291,30.0,12.3,74,2026-05-28,Medium,High,High
20,Mumbai,19.086115,72.85291,29.8,12.9,75,2026-05-28,Medium,High,High
21,Mumbai,19.086115,72.85291,29.7,12.7,76,2026-05-28,Medium,High,High
22,Mumbai,19.086115,72.85291,29.6,12.4,75,2026-05-28,Medium,High,High
23,Mumbai,19.086115,72.85291,29.6,12.4,74,2026-05-28,Medium,High,High
0,Mumbai,19.086115,72.85291,29.6,12.5,75,2026-05-29,Medium,High,High
1,Mumbai,19.086115,72.85291,29.7,11.4,74,2026-05-29,Medium,High,High
2,Mumbai,19.086115,72.85291,30.5,12.0,69,2026-05-29,Medium,High,High
3,Mumbai,19.086115,72.85291,31.5,12.3,64,2026-05-29,Medium,High,High
4,Mumbai,19.086115,72.85291,32.4,12.5,60,2026-05-29,Hot,High,Moderate
5,Mumbai,19.086115,72.85291,33.0,12.8,57,2026-05-29,Hot,High,Moderate
6,Mumbai,19.086115,72.85291,33.5,13.2,56,2026-05-29,Hot,High,Moderate
7,Mumbai,19.086115,72.85291,33.7,13.6,55,2026-05-29,Hot,High,Moderate
8,Mumbai,19.086115,72.85291,33.8,13.8,54,2026-05-29,Hot,High,Moderate
9,Mumbai,19.086115,72.85291,33.6,13.9,53,2026-05-29,Hot,High,Moderate
10,Mumbai,19.086115,72.85291,33.2,14.2,54,2026-05-29,Hot,High,Moderate
11,Mumbai,19.086115,72.85291,32.6,14.3,58,2026-05-29,Hot,High,Moderate
12,Mumbai,19.086115,72.85291,31.9,14.3,62,2026-05-29,Medium,High,High
13,Mumbai,19.086115,72.85291,31.1,13.9,65,2026-05-29,Medium,High,High
14,Mumbai,19.086115,72.85291,30.6,12.6,68,2026-05-29,Medium,High,High
15,Mumbai,19.086115,72.85291,30.4,12.2,69,2026-05-29,Medium,High,High
16,Mumbai,19.086115,72.85291,30.3,11.7,69,2026-05-29,Medium,High,High
17,Mumbai,19.086115,72.85291,30.2,12.2,68,2026-05-29,Medium,High,High
18,Mumbai,19.086115,72.85291,30.2,12.1,68,2026-05-29,Medium,High,High
19,Mumbai,19.086115,72.85291,30.1,12.1,69,2026-05-29,Medium,High,High
20,Mumbai,19.086115,72.85291,30.0,12.6,70,2026-05-29,Medium,High,High
21,Mumbai,19.086115,72.85291,29.9,12.9,70,2026-05-29,Medium,High,High
22,Mumbai,19.086115,72.85291,29.8,13.2,71,2026-05-29,Medium,High,High
23,Mumbai,19.086115,72.85291,29.8,13.6,71,2026-05-29,Medium,High,High
0,Mumbai,19.086115,72.85291,29.7,13.0,71,2026-05-30,Medium,High,High
1,Mumbai,19.086115,72.85291,29.8,12.6,71,2026-05-30,Medium,High,High
2,Mumbai,19.086115,72.85291,30.5,12.9,67,2026-05-30,Medium,High,High
3,Mumbai,19.086115,72.85291,31.2,13.5,64,2026-05-30,Medium,High,High
4,Mumbai,19.086115,72.85291,32.1,13.8,60,2026-05-30,Hot,High,Moderate
5,Mumbai,19.086115,72.85291,33.0,13.3,56,2026-05-30,Hot,High,Moderate
6,Mumbai,19.086115,72.85291,33.7,14.1,53,2026-05-30,Hot,High,Moderate
7,Mumbai,19.086115,72.85291,33.9,13.9,53,2026-05-30,Hot,High,Moderate
8,Mumbai,19.086115,72.85291,34.0,14.4,53,2026-05-30,Hot,High,Moderate
9,Mumbai,19.086115,72.85291,33.8,15.3,53,2026-05-30,Hot,Very High,Moderate
10,Mumbai,19.086115,72.85291,33.4,15.9,54,2026-05-30,Hot,Very High,Moderate
11,Mumbai,19.086115,72.85291,32.8,15.9,56,2026-05-30,Hot,Very High,Moderate
12,Mumbai,19.086115,72.85291,32.2,15.9,58,2026-05-30,Hot,Very High,Moderate
13,Mumbai,19.086115,72.85291,31.8,15.1,60,2026-05-30,Medium,Very High,Moderate
14,Mumbai,19.086115,72.85291,31.3,14.4,62,2026-05-30,Medium,High,High
15,Mumbai,19.086115,72.85291,31.2,13.6,62,2026-05-30,Medium,High,High
