hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
0,Bengaluru,12.970123,77.56364,21.2,6.3,98,2026-05-29,Cool,Moderate,Very High
1,Bengaluru,12.970123,77.56364,21.4,5.6,97,2026-05-29,Cool,Moderate,Very High
2,Bengaluru,12.970123,77.56364,22.5,6.5,90,2026-05-29,Cool,Moderate,Very High
3,Bengaluru,12.970123,77.56364,24.2,6.8,81,2026-05-29,Cool,Moderate,Very High
4,Bengaluru,12.970123,77.56364,26.4,9.2,70,2026-05-29,Medium,Moderate,High
5,Bengaluru,12.970123,77.56364,28.2,9.6,62,2026-05-29,Medium,Moderate,High
6,Bengaluru,12.970123,77.56364,29.2,8.1,58,2026-05-29,Medium,Moderate,Moderate
7,Bengaluru,12.970123,77.56364,30.2,6.9,54,2026-05-29,Medium,Moderate,Moderate
8,Bengaluru,12.970123,77.56364,31.0,9.1,52,2026-05-29,Medium,Moderate,Moderate
9,Bengaluru,12.970123,77.56364,31.4,9.4,51,2026-05-29,Medium,Moderate,Moderate
10,Bengaluru,12.970123,77.56364,30.9,9.2,49,2026-05-29,Medium,Moderate,Moderate
11,Bengaluru,12.970123,77.56364,29.8,3.8,53,2026-05-29,Medium,Low,Moderate
12,Bengaluru,12.970123,77.56364,28.6,6.9,57,2026-05-29,Medium,Moderate,Moderate
13,Bengaluru,12.970123,77.56364,26.9,5.0,69,2026-05-29,Medium,Low,High
14,Bengaluru,12.970123,77.56364,24.3,10.9,84,2026-05-29,Cool,High,Very High
15,Bengaluru,12.970123,77.56364,20.9,8.5,95,2026-05-29,Cool,Moderate,Very High
16,Bengaluru,12.970123,77.56364,21.7,4.3,97,2026-05-29,Cool,Low,Very High
17,Bengaluru,12.970123,77.56364,22.0,5.2,96,2026-05-29,Cool,Moderate,Very High
18,Bengaluru,12.970123,77.56364,21.7,9.2,96,2026-05-29,Cool,Moderate,Very High
19,Bengaluru,12.970123,77.56364,21.5,9.4,96,2026-05-29,Cool,Moderate,Very High
20,Bengaluru,12.970123,77.56364,21.2,10.1,98,2026-05-29,Cool,High,Very High
21,Bengaluru,12.970123,77.56364,21.0,8.7,98,2026-05-29,Cool,Moderate,Very High
22,Bengaluru,12.970123,77.56364,21.1,8.2,98,2026-05-29,Cool,Moderate,Very High
23,Bengaluru,12.970123,77.56364,21.0,9.2,100,2026-05-29,Cool,Moderate,Very High
0,Bengaluru,12.970123,77.56364,21.2,11.2,98,2026-05-30,Cool,High,Very High
1,Bengaluru,12.970123,77.56364,21.4,12.1,96,2026-05-30,Cool,High,Very High
2,Bengaluru,12.970123,77.56364,22.2,12.3,89,2026-05-30,Cool,High,Very High
3,Bengaluru,12.970123,77.56364,24.1,10.7,80,2026-05-30,Cool,High,High
4,Bengaluru,12.970123,77.56364,26.0,8.7,74,2026-05-30,Medium,Moderate,High
5,Bengaluru,12.970123,77.56364,27.6,9.4,67,2026-05-30,Medium,Moderate,High
6,Bengaluru,12.970123,77.56364,29.0,9.5,61,2026-05-30,Medium,Moderate,High
7,Bengaluru,12.970123,77.56364,30.0,9.4,58,2026-05-30,Medium,Moderate,Moderate
8,Bengaluru,12.970123,77.56364,30.4,8.7,56,2026-05-30,Medium,Moderate,Moderate
9,Bengaluru,12.970123,77.56364,30.8,7.8,54,2026-05-30,Medium,Moderate,Moderate
10,Bengaluru,12.970123,77.56364,30.8,5.0,53,2026-05-30,Medium,Low,Moderate
