hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
0,Hyderabad,17.398945,78.457085,27.5,12.5,68,2026-05-29,Medium,High,High
1,Hyderabad,17.398945,78.457085,27.8,14.1,66,2026-05-29,Medium,High,High
2,Hyderabad,17.398945,78.457085,28.7,14.5,62,2026-05-29,Medium,High,High
3,Hyderabad,17.398945,78.457085,29.5,15.1,59,2026-05-29,Medium,Very High,Moderate
4,Hyderabad,17.398945,78.457085,31.1,15.3,53,2026-05-29,Medium,Very High,Moderate
5,Hyderabad,17.398945,78.457085,33.0,15.1,46,2026-05-29,Hot,Very High,Moderate
6,Hyderabad,17.398945,78.457085,33.5,12.6,43,2026-05-29,Hot,High,Moderate
7,Hyderabad,17.398945,78.457085,34.5,11.7,39,2026-05-29,Hot,High,Moderate
8,Hyderabad,17.398945,78.457085,35.3,10.7,36,2026-05-29,Hot,High,Moderate
9,Hyderabad,17.398945,78.457085,36.1,9.9,34,2026-05-29,Hot,Moderate,Moderate
10,Hyderabad,17.398945,78.457085,36.3,9.8,33,2026-05-29,Hot,Moderate,Moderate
11,Hyderabad,17.398945,78.457085,36.2,10.0,32,2026-05-29,Hot,Moderate,Moderate
12,Hyderabad,17.398945,78.457085,35.9,8.2,32,2026-05-29,Hot,Moderate,Moderate
13,Hyderabad,17.398945,78.457085,34.6,4.2,40,2026-05-29,Hot,Low,Moderate
14,Hyderabad,17.398945,78.457085,32.8,5.6,48,2026-05-29,Hot,Moderate,Moderate
15,Hyderabad,17.398945,78.457085,32.0,4.4,54,2026-05-29,Medium,Low,Moderate
16,Hyderabad,17.398945,78.457085,31.5,3.3,58,2026-05-29,Medium,Low,Moderate
17,Hyderabad,17.398945,78.457085,30.9,3.5,59,2026-05-29,Medium,Low,Moderate
18,Hyderabad,17.398945,78.457085,30.4,3.9,60,2026-05-29,Medium,Low,Moderate
19,Hyderabad,17.398945,78.457085,29.7,12.4,56,2026-05-29,Medium,High,Moderate
20,Hyderabad,17.398945,78.457085,28.5,11.3,59,2026-05-29,Medium,High,Moderate
21,Hyderabad,17.398945,78.457085,27.9,11.5,60,2026-05-29,Medium,High,Moderate
22,Hyderabad,17.398945,78.457085,27.7,12.6,63,2026-05-29,Medium,High,High
23,Hyderabad,17.398945,78.457085,27.6,13.3,65,2026-05-29,Medium,High,High
0,Hyderabad,17.398945,78.457085,27.5,13.8,66,2026-05-30,Medium,High,High
1,Hyderabad,17.398945,78.457085,27.8,13.0,65,2026-05-30,Medium,High,High
2,Hyderabad,17.398945,78.457085,29.0,14.3,60,2026-05-30,Medium,High,Moderate
3,Hyderabad,17.398945,78.457085,30.5,15.5,54,2026-05-30,Medium,Very High,Moderate
4,Hyderabad,17.398945,78.457085,32.3,15.0,45,2026-05-30,Hot,High,Moderate
5,Hyderabad,17.398945,78.457085,34.1,14.3,37,2026-05-30,Hot,High,Moderate
6,Hyderabad,17.398945,78.457085,35.5,14.3,31,2026-05-30,Hot,High,Moderate
7,Hyderabad,17.398945,78.457085,36.5,13.7,29,2026-05-30,Hot,High,Low
8,Hyderabad,17.398945,78.457085,37.2,12.3,28,2026-05-30,Hot,High,Low
9,Hyderabad,17.398945,78.457085,37.8,10.7,26,2026-05-30,Hot,High,Low
10,Hyderabad,17.398945,78.457085,37.5,9.6,26,2026-05-30,Hot,Moderate,Low
11,Hyderabad,17.398945,78.457085,37.2,9.4,27,2026-05-30,Hot,Moderate,Low
12,Hyderabad,17.398945,78.457085,36.8,9.7,27,2026-05-30,Hot,Moderate,Low
13,Hyderabad,17.398945,78.457085,36.0,11.3,29,2026-05-30,Hot,High,Low
14,Hyderabad,17.398945,78.457085,34.5,9.5,35,2026-05-30,Hot,Moderate,Moderate
15,Hyderabad,17.398945,78.457085,33.5,6.4,38,2026-05-30,Hot,Moderate,Moderate
